Date,Iwatch(step),Iphone(step),Difference,Percentage Difference ,Consistency,,
1/30/23 0:00,13510,12948,562,4.159881569,Very consistent,,
1/31/23 0:00,10837,10789,48,0.442927009,Very consistent,,
2/1/23 0:00,10773,10675,98,0.909681611,Very consistent,, 
2/2/23 0:00,15790,14691,1099,6.96010133,Very consistent,, 
2/3/23 0:00,19112,18643,469,2.45395563,Very consistent,, 
2/4/23 0:00,13397,12253,1144,8.5392252,Very consistent,, 
2/5/23 0:00,21915,20949,966,4.407939767,Very consistent,, 
2/6/23 0:00,8539,8726,-187,-2.189951985,Very consistent,, 
2/7/23 0:00,5756,5402,354,6.150104239,Very consistent,, 
2/8/23 0:00,8259,7696,563,6.816805909,Very consistent,, 
2/9/23 0:00,9113,8707,406,4.455173927,Very consistent,, 
2/10/23 0:00,12238,11630,608,4.968132048,Very consistent,, 
2/11/23 0:00,18250,15500,2750,15.06849315,Mostly consistent,, 
2/12/23 0:00,15788,15836,-48,-0.304028376,Very consistent,, 
2/13/23 0:00,11739,11382,357,3.041144902,Very consistent,, 
2/14/23 0:00,9242,8608,634,6.859987016,Very consistent,, 
2/15/23 0:00,22074,20590,1484,6.722841352,Very consistent,, 
2/16/23 0:00,18174,17098,1076,5.920545835,Very consistent,, 
2/17/23 0:00,12915,11895,1020,7.897793264,Very consistent,, 
2/18/23 0:00,12683,12442,241,1.900181345,Very consistent,, 
2/19/23 0:00,13377,11266,2111,15.78081782,Mostly consistent,, 
2/20/23 0:00,10572,9797,775,7.330684828,Very consistent,, 
2/21/23 0:00,13157,11917,1240,9.424640876,Very consistent,, 
2/22/23 0:00,12649,11964,685,5.415447861,Very consistent,, 
2/23/23 0:00,15914,15193,721,4.530601986,Very consistent,, 
2/24/23 0:00,16910,13956,2954,17.46895328,Mostly consistent,, 
2/25/23 0:00,6909,7031,-122,-1.765812708,Very consistent,, 
2/26/23 0:00,7747,6961,786,10.14586291,Mostly consistent,, 
2/27/23 0:00,21429,21438,-9,-0.04199916,Very consistent,, 
2/28/23 0:00,17584,17962,-378,-2.149681529,Very consistent,, 
3/1/23 0:00,15495,15980,-485,-3.130041949,Very consistent,, 
3/2/23 0:00,21317,20777,540,2.533189473,Very consistent,, 
3/3/23 0:00,22798,21722,1076,4.719712255,Very consistent,, 
3/4/23 0:00,16883,16082,801,4.744417461,Very consistent,, 
3/5/23 0:00,10355,11061,-706,-6.817962337,Very consistent,, 
3/6/23 0:00,10288,9442,846,8.223172628,Very consistent,, 
3/7/23 0:00,13888,10551,3337,24.02793779,Mostly consistent,, 
3/8/23 0:00,10223,9592,631,6.172356451,Very consistent,, 
3/9/23 0:00,18497,13093,5404,29.21554847,Mostly consistent,, 
3/10/23 0:00,19017,19976,-959,-5.042856392,Very consistent,, 
3/11/23 0:00,15832,14917,915,5.779434058,Very consistent,, 
3/12/23 0:00,7464,6299,1165,15.60825295,Mostly consistent,, 
3/13/23 0:00,8761,8203,558,6.369135943,Very consistent,, 
3/14/23 0:00,11797,10507,1290,10.93498347,Mostly consistent,, 
3/15/23 0:00,20263,19754,509,2.511967626,Very consistent,, 
3/16/23 0:00,11709,12091,-382,-3.26244769,Very consistent,, 
3/17/23 0:00,19448,17426,2022,10.39695599,Mostly consistent,, 
3/18/23 0:00,7000,6085,915,13.07142857,Mostly consistent,, 
3/19/23 0:00,13292,12369,923,6.944026482,Very consistent,, 
3/20/23 0:00,14076,12674,1402,9.96021597,Very consistent,, 
3/21/23 0:00,14574,12955,1619,11.10882393,Mostly consistent,, 
3/22/23 0:00,10481,9421,1060,10.11353878,Mostly consistent,, 
3/23/23 0:00,9470,8267,1203,12.7032735,Mostly consistent,, 
3/24/23 0:00,23483,15351,8132,34.62930631,Major differences,, 
3/25/23 0:00,14764,12633,2131,14.43375779,Mostly consistent,, 
3/26/23 0:00,5323,4685,638,11.98572234,Mostly consistent,, 
3/27/23 0:00,15862,13501,2361,14.88462993,Mostly consistent,, 
3/28/23 0:00,13245,12132,1113,8.403171008,Very consistent,, 
3/29/23 0:00,16278,15885,393,2.414301511,Very consistent,, 
3/30/23 0:00,12677,11154,1523,12.01388341,Mostly consistent,, 
3/31/23 0:00,14226,12276,1950,13.7072965,Mostly consistent,, 
4/1/23 0:00,17156,16649,507,2.95523432,Very consistent,, 
4/2/23 0:00,22837,21628,1209,5.294040373,Very consistent,, 
4/3/23 0:00,19633,17997,1636,8.332908878,Very consistent,, 
4/4/23 0:00,15308,13955,1353,8.838515809,Very consistent,, 
4/5/23 0:00,23565,23622,-57,-0.24188415,Very consistent,, 
4/6/23 0:00,10581,10324,257,2.428881958,Very consistent,, 
4/7/23 0:00,10701,10434,267,2.495093916,Very consistent,, 
4/8/23 0:00,3712,3150,562,15.14008621,Mostly consistent,, 
4/9/23 0:00,9154,9009,145,1.584006991,Very consistent,, 
