Date,IStep,WStep ,,,,,
4/16/23 0:00,1224,1342,,,,, 
4/16/23 1:00,1869,1874,,,,, 
4/16/23 2:00,1688,1818,,,,, 
4/16/23 3:00,134,134,,,,, 
4/16/23 7:00,48,48,,,,, 
4/16/23 11:00,145.42,185,,,,, 
4/16/23 12:00,45.2,97,,,,, 
4/16/23 13:00,61,61,,,,, 
4/16/23 14:00,1451,1490,,,,, 
4/16/23 15:00,1209,1170,,,,, 
4/16/23 16:00,1134,1110,,,,, 
4/16/23 17:00,1145,1195,,,,, 
4/16/23 18:00,236.55,781.27,,,,, 
4/16/23 19:00,1216,1482,,,,, 
4/16/23 20:00,914.71,1031,,,,, 
4/16/23 21:00,636,717,,,,, 
4/16/23 23:00,214,241.57,,,,, 
4/17/23 0:00,148.24,254.36,,,,, 
4/17/23 1:00,97.76,196.07,,,,, 
4/17/23 2:00,34,38,,,,, 
4/17/23 3:00,8,71,,,,, 
4/17/23 4:00,47,47,,,,, 
4/17/23 5:00,5,5,,,,, 
4/17/23 6:00,46,46,,,,, 
4/17/23 8:00,16,8,,,,, 
4/17/23 9:00,24,24,,,,, 
4/17/23 10:00,1352,1528,,,,, 
4/17/23 11:00,811.17,916.03,,,,, 
4/17/23 13:00,2799,2801,,,,, 
4/17/23 14:00,245,245,,,,, 
4/17/23 15:00,59,145,,,,, 
4/17/23 16:00,87,87,,,,, 
4/17/23 17:00,1867,2427,,,,, 
4/17/23 18:00,303.44,307.52,,,,, 
4/17/23 19:00,230.62,203.65,,,,, 
4/17/23 20:00,2009,2044,,,,, 
4/17/23 21:00,135,135,,,,, 
4/17/23 22:00,1420,1609,,,,, 
4/17/23 23:00,68,68,,,,, 
4/18/23 0:00,111,111,,,,, 
4/18/23 1:00,8,8,,,,, 
4/18/23 2:00,22,22,,,,, 
4/18/23 3:00,93.8,283,,,,, 
4/18/23 4:00,27,27,,,,, 
4/18/23 6:00,38,38,,,,, 
4/18/23 8:00,31,31,,,,, 
4/18/23 9:00,134.49,378.8,,,,, 
4/18/23 10:00,721.51,742.2,,,,, 
4/18/23 11:00,254,215,,,,, 
4/18/23 12:00,2601,2546,,,,, 
4/18/23 13:00,1089,1086,,,,, 
4/18/23 14:00,43,43,,,,, 
4/18/23 15:00,221,239,,,,, 
4/18/23 16:00,61,61,,,,, 
4/18/23 17:00,2117,2132,,,,, 
4/18/23 18:00,139,139,,,,, 
