Date,Count,Hour
1/1/22,32,7
1/1/22,49,7
1/1/22,14,7
1/1/22,20,7
1/1/22,16,7
1/1/22,12,7
1/1/22,8,7
1/1/22,41,10
1/1/22,75,8
1/1/22,76,8
1/1/22,82,8
1/1/22,17,10
1/1/22,29,11
1/1/22,7,11
1/1/22,35,11
1/1/22,35,11
1/1/22,61,11
1/1/22,17,11
1/1/22,31,11
1/1/22,4,11
1/1/22,23,11
1/1/22,63,11
1/1/22,11,11
1/1/22,25,11
1/1/22,6,11
1/1/22,90,11
1/1/22,2,12
1/1/22,9,12
1/1/22,29,12
1/1/22,3,13
1/1/22,20,13
1/1/22,1,13
1/1/22,8,13
1/1/22,1,14
1/1/22,27,14
1/1/22,25,15
1/1/22,12,15
1/1/22,364,16
1/1/22,30,16
1/1/22,142,16
1/1/22,1098,16
1/1/22,868,16
1/1/22,1075,16
1/1/22,82,16
1/1/22,54,16
1/1/22,46,16
1/1/22,1123,16
1/1/22,1137,17
1/1/22,1082,17
1/1/22,977,16
1/1/22,113,17
1/1/22,109,17
1/1/22,111,17
1/1/22,119,17
1/1/22,118,17
1/1/22,111,17
1/1/22,111,17
1/1/22,15,17
1/1/22,1084,17
1/1/22,56,17
1/1/22,947,17
1/1/22,118,17
1/1/22,14,17
1/1/22,1017,17
1/1/22,1124,17
1/1/22,853,17
1/1/22,167,17
1/1/22,1106,17
1/1/22,116,17
1/1/22,118,17
1/1/22,111,17
1/1/22,115,17
1/1/22,117,17
1/1/22,106,17
1/1/22,113,17
1/1/22,785,17
1/1/22,116,17
1/1/22,118,17
1/1/22,109,17
1/1/22,34,17
1/1/22,1148,17
1/1/22,1098,17
1/1/22,65,18
1/1/22,185,18
1/1/22,2,18
1/1/22,5,18
1/1/22,2,18
1/1/22,63,18
1/1/22,6,18
1/1/22,11,18
1/1/22,35,18
1/1/22,4,18
1/1/22,18,19
1/1/22,43,19
1/1/22,2,19
1/1/22,42,19
1/1/22,19,19
1/1/22,610,18
1/1/22,42,18
1/1/22,14,19
1/1/22,8,19
1/1/22,22,20
1/1/22,52,20
1/1/22,42,20
1/1/22,4,20
1/1/22,16,20
1/1/22,8,20
1/1/22,2,22
